rownames,project_id,date,type
736,220,2014-12-31 ,8
737,221,2013-01-01 ,1
738,221,2015-12-31 ,8
739,222,2013-01-01 ,1
740,222,2018-05-31 ,8
741,223,2013-01-01 ,1
742,223,2015-12-31 ,8
743,224,2013-01-01 ,1
744,224,,2
745,224,2021-12-01 ,8
746,224,,16
747,224,,32
748,224,,64
749,224,,2048
750,225,2013-01-01 ,1
751,225,,2
752,225,2015-12-01 ,8
753,225,,16
754,225,,32
755,225,,64
756,225,,2048
757,226,2013-01-01 ,1
758,226,,2
759,226,2014-12-31 ,8
760,226,,16
761,226,,32
762,226,,64
763,226,,2048
764,227,2013-01-01 ,1
765,227,,2
766,227,2014-12-31 ,8
767,227,,16
768,227,,32
769,227,,64
770,227,,2048
771,228,2013-01-01 ,1
772,228,2014-12-01 ,2
773,228,2014-12-31 ,8
774,228,,16
775,228,,32
776,228,,64
777,228,,2048
778,229,2013-01-01 ,1
779,229,2016-12-31 ,8
780,230,2013-01-01 ,1
781,230,2015-12-31 ,8
782,231,2013-01-01 ,1
783,231,2015-12-31 ,8
784,233,2013-01-01 ,1
785,233,2014-12-31 ,8
786,234,2013-01-01 ,1
787,234,2014-12-31 ,8
788,235,2013-01-01 ,1
789,235,2014-12-31 ,8
790,236,2013-01-01 ,1
791,236,,2
792,236,2014-12-31 ,8
793,236,,16
794,236,,32
795,236,,64
796,236,,2048
797,238,2014-01-01 ,1
798,238,2014-12-31 ,8
799,239,2014-01-01 ,1
800,239,2015-12-31 ,8
801,240,2014-01-01 ,1
802,240,2014-12-31 ,8
803,241,2014-01-01 ,1
804,241,2015-12-31 ,8
805,242,2014-01-01 ,1
806,242,2015-12-31 ,8
807,243,2014-01-01 ,1
808,243,2014-12-31 ,8
809,244,2014-01-01 ,1
810,244,2015-12-31 ,8
811,245,2013-11-22 ,1
812,245,,2
813,245,2014-12-31 ,8
814,245,,16
815,245,,32
816,245,,64
817,245,,2048
818,246,2013-10-01 ,1
819,246,,2
820,246,2014-12-31 ,8
821,246,,16
822,246,,32
823,246,,64
824,246,,2048
825,247,2013-08-01 ,1
826,247,2014-10-31 ,8
827,249,2013-11-27 ,1
828,249,2017-03-01 ,2
829,249,2019-12-31 ,8
830,249,2015-09-01 ,16
831,249,2019-12-24 ,2048
832,253,2013-12-02 ,1
833,253,2013-12-02 ,2
834,253,2011-11-05 ,4
835,253,2018-12-31 ,8
836,253,2015-11-01 ,16
837,253,2014-04-24 ,64
838,253,2012-09-15 ,128
839,253,2019-01-04 ,2048
840,254,2013-01-01 ,1
841,254,2016-12-31 ,8
842,255,2014-01-01 ,1
843,255,2015-12-31 ,8
844,256,2014-01-01 ,1
845,256,2014-01-01 ,2
846,256,2014-01-01 ,4
847,256,2017-01-02 ,8
848,256,2015-02-02 ,16
849,256,2015-02-16 ,32
850,256,2014-01-01 ,64
851,256,2014-11-24 ,128
852,256,2015-11-01 ,512
853,257,2014-01-01 ,1
854,257,,2
855,257,2016-12-31 ,8
856,257,,16
857,257,,32
858,257,,64
859,257,,2048
860,258,2013-12-01 ,1
861,258,2014-12-31 ,8
862,259,2013-12-09 ,1
863,259,2013-12-09 ,2
864,259,2013-12-10 ,4
865,259,2021-12-01 ,8
866,259,2015-11-18 ,16
867,259,2015-03-02 ,64
868,259,2014-01-30 ,128
869,260,2013-12-12 ,1
870,260,,2
871,260,2014-12-31 ,8
872,260,,16
873,260,,32
874,260,,64
875,260,,2048
876,261,2014-01-01 ,1
877,261,2014-12-31 ,8
878,271,2013-10-01 ,1
879,271,,2
880,271,2014-12-31 ,8
881,271,,16
882,271,,32
883,271,,64
884,271,,2048
885,272,2014-01-01 ,1
886,272,2014-01-01 ,2
887,272,2014-01-01 ,4
888,272,2018-12-31 ,8
889,272,2015-04-01 ,16
890,272,2017-10-01 ,32
891,272,2017-10-01 ,256
892,272,2017-12-15 ,512
893,272,2019-01-04 ,2048
894,273,2014-01-01 ,1
895,273,2015-12-31 ,8
896,279,2013-12-02 ,1
897,279,2014-12-31 ,8
898,280,2014-01-01 ,1
899,280,2014-12-31 ,8
900,281,2014-01-01 ,1
901,281,2014-12-31 ,8
902,282,2014-01-01 ,1
903,282,2014-12-31 ,8
904,283,2014-01-01 ,1
905,283,2016-12-31 ,8
906,287,2013-01-01 ,1
907,287,2015-12-31 ,8
908,288,2014-01-01 ,1
909,288,2015-12-31 ,8
910,289,2014-01-01 ,1
911,289,2014-12-31 ,8
912,290,2014-01-01 ,1
913,290,2014-12-31 ,8
914,291,2013-01-01 ,1
915,291,2013-12-31 ,8
916,293,2014-01-01 ,1
917,293,2015-12-31 ,8
