rownames,macro_budget_id,year,amount,comment,project_id,accounting_amount
1377,34490277,2020,2126.16,,1073,2126.16
1378,34490278,2019,0,,1075,0
1379,34490279,2020,124100.96,,1075,124100.96
1380,34490282,2020,0,,1079,0
1381,34490284,2020,0,,1081,0
1382,34490293,2020,12278.1,,1088,12278.1
1383,34490294,2019,4291.35,,1088,4291.35
1384,34490307,2020,0,,1097,0
1385,34490308,2020,0,,1098,0
1386,34490309,2020,0,,1100,0
1387,34490310,2020,11337.25,,1101,11337.25
1388,34490311,2020,0,,1102,0
1389,34490319,2020,17064.69,,1107,17064.69
1390,34490327,2020,3408.8,,1114,3408.8
1391,34490330,2020,0,,1116,0
1392,34490334,2020,0,,1119,0
1393,34490335,2020,0,,1120,0
1394,34490338,2020,0,,1122,0
1395,34490341,2020,25,,1124,25
1396,34490350,2020,0,,1129,0
1397,34490373,2020,0,,1143,0
1398,34490374,2020,0,,1144,0
1399,34490375,2020,35812.4,,1145,35812.4
1400,34490389,2020,2331.12,,1154,2331.12
1401,34490392,2020,0,,1157,0
1402,34499406,2021,683215,,36,0
1403,34499407,2016,0,,36,0
1404,34499408,2019,5182,,36,5182
1405,34499409,2017,0,,36,0
1406,34499410,2018,0,,36,0
1407,34499411,2015,0,,36,0
1408,34499412,2020,0,,36,0
1409,34499413,2016,182,,37,182
1410,34499414,2019,0,,37,0
1411,34499415,2014,0,,37,0
1412,34499416,2015,0,,37,0
1413,34499417,2021,53012,,38,0
1414,34499418,2016,0,,38,0
1415,34499419,2015,0,,38,0
1416,34499420,2017,0,,38,0
1417,34499421,2015,0,,39,0
1418,34499422,2016,0,,39,0
1419,34499423,2021,37931,,39,0
1420,34499424,2019,0,,39,0
1421,34499425,2014,0,,39,0
1422,34499426,2016,52605.8,,44,52605.8
1423,34499427,2014,115933.01,,44,115933.01
1424,34499428,2018,30242.03,,44,30242.03
1425,34499429,2021,73587,,44,358.21
1426,34499430,2013,171948.45,,44,171948.45
1427,34499431,2015,22248.04,,44,22248.04
1428,34499432,2020,56633.47,,44,56633.47
1429,34499433,2017,36366.77,,44,36366.77
1430,34499434,2019,30714.64,,44,30714.64
1431,34499435,2013,226339.17,,45,226339.17
1432,34499436,2020,58508.82,,45,58508.82
1433,34499437,2018,134149.76,,45,134149.76
1434,34499438,2021,117061.5,,45,1197.8
1435,34499439,2016,155766.95,,45,155766.95
1436,34499440,2017,156199.7,,45,156199.7
1437,34499441,2015,133976.59,,45,133976.59
1438,34499442,2019,133933.3,,45,133933.3
1439,34499443,2014,215593.12,,45,215593.12
1440,34499444,2013,134539.07,,47,134539.07
1441,34499445,2017,9065.45,,47,9065.45
1442,34499446,2015,12652.48,,47,12652.48
1443,34499447,2020,1827.19,,47,1827.19
1444,34499448,2019,5186.09,,47,5186.09
1445,34499449,2014,74594.94,,47,74594.94
1446,34499450,2021,47420,,47,0
1447,34499451,2016,32965.95,,47,32965.95
1448,34499452,2018,17039.21,,47,17039.21
1449,34499453,2014,540476.79,,49,540476.79
1450,34499454,2021,617153.33,,49,250251.62
1451,34499455,2015,698321.03,,49,698321.03
1452,34499456,2017,567191.67,,49,567191.67
1453,34499457,2019,830405.57,,49,830405.57
1454,34499458,2016,606283.8,,49,606283.8
1455,34499459,2013,510895.76,,49,510895.76
1456,34499460,2020,859531.9,,49,859531.9
1457,34499461,2018,704955.79,,49,704955.79
1458,34499462,2017,481681.24,,51,481681.24
1459,34499463,2019,322963.31,,51,322963.31
1460,34499464,2015,525173.31,,51,525173.31
1461,34499465,2020,400590.13,,51,400590.13
1462,34499466,2016,621508.18,,51,621508.18
1463,34499467,2014,591485.23,,51,591485.23
1464,34499468,2021,329544.17,,51,118808.12
1465,34499469,2013,519261.79,,51,519261.79
1466,34499470,2018,438839.13,,51,438839.13
1467,34499471,2016,26028.59,,53,26028.59
1468,34499472,2014,40892.69,,53,40892.69
1469,34499473,2019,37912.82,,53,37912.82
1470,34499474,2018,27569.12,,53,27569.12
1471,34499475,2017,20914.82,,53,20914.82
1472,34499476,2021,45384.08,,53,10913.09
1473,34499477,2020,31242.27,,53,31242.27
1474,34499478,2013,41676.52,,53,41676.52
1475,34499479,2015,23214.9,,53,23214.9
1476,34499480,2014,28720.5,,54,28720.5
1477,34499481,2021,36900,,54,3318.07
1478,34499482,2016,2902.93,,54,2902.93
1479,34499483,2019,9689.3,,54,9689.3
1480,34499484,2018,12243.47,,54,12243.47
1481,34499485,2013,36122.38,,54,36122.38
1482,34499486,2015,100.58,,54,100.58
1483,34499487,2020,2689.17,,54,2689.17
1484,34499488,2017,10555.11,,54,10555.11
1485,34499489,2013,918102.66,,55,918102.66
1486,34499490,2020,830645.5,,55,830645.5
1487,34499491,2016,653794.89,,55,653794.89
1488,34499492,2019,705573.28,,55,705573.28
1489,34499493,2014,770640.56,,55,770640.56
1490,34499494,2015,538646.84,,55,538646.84
1491,34499495,2017,675051.34,,55,675051.34
1492,34499496,2018,704182.68,,55,704182.68
1493,34499497,2021,735289.42,,55,277773.89
1494,34499498,2014,4980,,196,4980
1495,34499499,2019,0,,196,0
1496,34499500,2018,0,,196,0
1497,34499501,2017,0,,196,0
1498,34499502,2020,0,,196,0
1499,34499503,2013,16807.5,,196,16807.5
1500,34499504,2021,2742,,196,0
1501,34499505,2016,8235.09,,209,8235.09
1502,34499506,2014,22457.58,,209,22457.58
1503,34499507,2019,31431.54,,209,31431.54
1504,34499508,2021,33000,,209,7336
1505,34499509,2020,20431.78,,209,20431.78
1506,34499510,2018,17828.66,,209,17828.66
1507,34499511,2013,29339.14,,209,29339.14
1508,34499512,2015,11436.88,,209,11436.88
1509,34499513,2017,17931.46,,209,17931.46
1510,34499514,2014,58594.3,,211,58594.3
1511,34499515,2021,102780,,211,3316.54
1512,34499516,2017,198619.63,,211,198619.63
1513,34499517,2015,307559.55,,211,307559.55
1514,34499518,2018,157449.54,,211,157449.54
1515,34499519,2016,172763.01,,211,172763.01
1516,34499520,2020,236180.23,,211,236180.23
1517,34499521,2019,133967.57,,211,133967.57
1518,34499522,2013,195460.89,,211,195460.89
1519,34499523,2017,3757.35,,224,3757.35
1520,34499524,2015,1465.92,,224,1465.92
1521,34499525,2014,31341,,224,31341
1522,34499526,2019,1843.77,,224,1843.77
1523,34499527,2021,48057,,224,0
1524,34499528,2016,209.2,,224,209.2
1525,34499529,2020,427.92,,224,427.92
1526,34499530,2013,13695,,224,13695
1527,34499531,2018,884.54,,224,884.54
1528,34499532,2015,11099.61,,259,11099.61
1529,34499533,2020,0,,259,0
1530,34499534,2018,3655.12,,259,3655.12
1531,34499535,2019,1357.89,,259,1357.89
1532,34499536,2014,14334,,259,14334
1533,34499537,2021,8070,,259,0
1534,34499538,2016,1191.72,,259,1191.72
1535,34499539,2017,0,,259,0
1536,34499540,2019,5938226.59,,317,5938226.59
1537,34499541,2021,0,,317,1768641.44
1538,34499542,2013,4764830.02,,317,4764830.02
1539,34499543,2016,5616949.83,,317,5616949.83
1540,34499544,2020,7190512.26,,317,7190512.26
1541,34499545,2018,6732338.3,,317,6732338.3
1542,34499546,2014,4503260.55,,317,4503260.55
1543,34499547,2015,4390850.81,,317,4390850.81
1544,34499548,2017,6510751.02,,317,6510751.02
1545,34499549,2015,2727.75,,323,2727.75
1546,34499550,2020,232,,323,232
1547,34499551,2017,4130.44,,323,4130.44
1548,34499552,2019,3255.14,,323,3255.14
1549,34499553,2014,2902.14,,323,2902.14
1550,34499554,2016,4374.67,,323,4374.67
1551,34499555,2018,3216.47,,323,3216.47
1552,34499556,2013,2924.12,,323,2924.12
1553,34499557,2014,35451.76,,324,35451.76
1554,34499558,2020,76470.4,,324,76470.4
1555,34499559,2017,37124.13,,324,37124.13
1556,34499560,2021,53000,,324,22669.4
1557,34499561,2019,82328.15,,324,82328.15
1558,34499562,2015,41809.76,,324,41809.76
1559,34499563,2013,43827.44,,324,43827.44
1560,34499564,2016,45640.59,,324,45640.59
1561,34499565,2018,61184.89,,324,61184.89
1562,34499566,2017,60631.76,,325,60631.76
1563,34499567,2019,49881.44,,325,49881.44
1564,34499568,2014,43031.73,,325,43031.73
1565,34499569,2021,50000,,325,14068.89
1566,34499570,2013,10176.36,,325,10176.36
1567,34499571,2016,52256.04,,325,52256.04
1568,34499572,2020,50871.64,,325,50871.64
1569,34499573,2018,50393.25,,325,50393.25
1570,34499574,2015,51017.81,,325,51017.81
1571,34499575,2017,0,,427,0
1572,34499576,2018,0,,427,0
1573,34499577,2016,0,,427,0
1574,34499578,2015,0,,427,0
1575,34499579,2019,0,,427,0
1576,34499580,2015,19442.98,,438,19442.98
1577,34499581,2018,33117.92,,438,33117.92
1578,34499582,2020,24421.3,,438,24421.3
1579,34499583,2019,18038.98,,438,18038.98
1580,34499584,2017,28083.73,,438,28083.73
1581,34499585,2016,16743.19,,438,16743.19
1582,34499586,2021,41236.68,,438,5137.78
1583,34499587,2015,222577.57,,440,222577.57
1584,34499588,2021,278993.63,,440,66696.36
1585,34499589,2019,143163.43,,440,143163.43
1586,34499590,2017,173026.17,,440,173026.17
1587,34499591,2018,180067.74,,440,180067.74
1588,34499592,2020,159547.91,,440,159547.91
1589,34499593,2014,2820,,440,2820
1590,34499594,2016,180175.9,,440,180175.9
1591,34499595,2016,8605.24,,490,8605.24
1592,34499596,2015,8627.52,,490,8627.52
1593,34499597,2020,8068.69,,490,8068.69
1594,34499598,2018,26012.08,,490,26012.08
1595,34499599,2017,12994.96,,490,12994.96
1596,34499600,2019,18250.1,,490,18250.1
1597,34499601,2021,18800,,490,7404.65
1598,34499602,2018,108601.71,,495,108601.71
1599,34499603,2016,214877.56,,495,214877.56
1600,34499604,2017,101411.59,,495,101411.59
1601,34499605,2021,124236.25,,495,55175.37
1602,34499606,2019,137569.73,,495,137569.73
1603,34499607,2015,169277.63,,495,169277.63
1604,34499608,2020,156989.53,,495,156989.53
1605,34499609,2016,9168.59,,528,9168.59
