rownames,project_id,date,type
582,169,2015-12-22 ,32
583,169,2013-06-13 ,128
584,169,2016-06-07 ,256
585,169,2016-12-02 ,512
586,170,2013-01-01 ,1
587,170,2013-01-01 ,2
588,170,2018-12-31 ,8
589,170,2013-05-01 ,64
590,170,2019-01-04 ,2048
591,171,2013-01-01 ,1
592,171,,2
593,171,2015-12-31 ,8
594,171,,16
595,171,,32
596,171,,64
597,171,,2048
598,172,2013-01-01 ,1
599,172,2013-01-01 ,2
600,172,2013-12-31 ,8
601,172,,16
602,172,,32
603,172,,64
604,172,2013-12-01 ,2048
605,173,2013-01-01 ,1
606,173,,2
607,173,2015-12-31 ,8
608,173,,16
609,173,,32
610,173,,64
611,173,,2048
612,174,2013-01-01 ,1
613,174,2014-12-31 ,8
614,175,2013-01-01 ,1
615,175,2013-12-31 ,8
616,176,2013-01-01 ,1
617,176,2014-12-31 ,8
618,177,2013-01-01 ,1
619,177,2013-12-31 ,8
620,178,2013-01-01 ,1
621,178,2014-12-31 ,8
622,179,2013-01-01 ,1
623,179,2013-12-31 ,8
624,180,2013-01-01 ,1
625,180,2016-12-31 ,8
626,181,2013-01-01 ,1
627,181,2013-12-31 ,8
628,182,2013-01-01 ,1
629,182,2013-12-31 ,8
630,183,2013-01-01 ,1
631,183,2014-12-31 ,8
632,184,2013-01-01 ,1
633,184,2014-12-31 ,8
634,185,2013-01-01 ,1
635,185,2014-12-31 ,8
636,186,2013-01-01 ,1
637,186,2014-12-31 ,8
638,187,2013-01-01 ,1
639,187,2013-12-31 ,8
640,188,2013-01-01 ,1
641,188,,2
642,188,2015-12-31 ,8
643,188,,16
644,188,,32
645,188,,64
646,188,,2048
647,189,2013-01-01 ,1
648,189,2016-12-31 ,8
649,191,2013-01-01 ,1
650,191,2018-12-01 ,8
651,191,2019-01-04 ,2048
652,192,2013-01-01 ,1
653,192,2013-12-31 ,8
654,193,2013-01-01 ,1
655,193,2013-12-31 ,8
656,194,2013-01-01 ,1
657,194,2013-12-31 ,8
658,195,2013-01-01 ,1
659,195,2013-12-31 ,8
660,196,2013-01-01 ,1
661,196,2023-12-01 ,8
662,197,2013-01-01 ,1
663,197,2015-12-31 ,8
664,198,2013-01-01 ,1
665,198,2017-12-31 ,8
666,199,2013-01-01 ,1
667,199,2013-12-31 ,8
668,200,2013-01-01 ,1
669,200,2015-12-31 ,8
670,201,2013-01-01 ,1
671,201,2013-12-31 ,8
672,202,2013-01-01 ,1
673,202,2013-12-31 ,8
674,203,2013-01-01 ,1
675,203,2013-12-31 ,8
676,204,2013-01-01 ,1
677,204,2013-12-31 ,8
678,205,2013-01-01 ,1
679,205,2013-12-31 ,8
680,206,2013-01-01 ,1
681,206,2013-12-31 ,8
682,207,2013-01-01 ,1
683,207,2013-12-31 ,8
684,208,2013-01-01 ,1
685,208,2021-12-01 ,8
686,208,2022-07-04 ,2048
687,209,2014-01-01 ,1
688,209,,2
689,209,2021-12-01 ,8
690,209,,16
691,209,,32
692,209,,64
693,209,2022-02-11 ,2048
694,210,2013-01-01 ,1
695,210,2014-12-31 ,8
696,211,2013-01-01 ,1
697,211,2021-12-01 ,8
698,211,2022-02-11 ,2048
699,212,2013-01-01 ,1
700,212,2013-12-31 ,8
701,213,2013-01-01 ,1
702,213,,2
703,213,2015-12-31 ,8
704,213,,16
705,213,,32
706,213,,64
707,213,,2048
708,214,2013-01-01 ,1
709,214,,2
710,214,2014-12-31 ,8
711,214,,16
712,214,,32
713,214,,64
714,214,,2048
715,215,2013-01-01 ,1
716,215,,2
717,215,2014-12-31 ,8
718,215,,16
719,215,,32
720,215,,64
721,215,,2048
722,216,2013-01-01 ,1
723,216,2018-07-31 ,8
724,217,2013-01-01 ,1
725,217,,2
726,217,2014-12-31 ,8
727,217,,16
728,217,,32
729,217,,64
730,217,,2048
731,218,2013-01-01 ,1
732,218,,2
733,218,2013-12-31 ,8
734,218,,16
735,218,,32
736,218,,64
737,218,,2048
738,219,2013-01-01 ,1
739,219,2013-12-31 ,8
740,220,2013-01-01 ,1
741,220,2014-12-31 ,8
742,221,2013-01-01 ,1
743,221,2015-12-31 ,8
744,222,2013-01-01 ,1
745,222,2018-05-31 ,8
746,223,2013-01-01 ,1
747,223,2015-12-31 ,8
748,224,2013-01-01 ,1
749,224,,2
750,224,2024-12-01 ,8
751,224,,16
752,224,,32
753,224,,64
754,224,,2048
755,225,2013-01-01 ,1
756,225,,2
