rownames,project_zone_id,country_id,region_id,place_id,project_id
1289,5942,10,2080,81,725
1290,5943,7,,,745
1291,5944,4,,,745
1292,5945,3,898,,1272
1293,5946,1,543,,1262
1294,5958,14,1461,26,1175
1295,5962,1,543,11,1156
1296,5970,2,845,17,1146
1297,5980,14,,,1207
1298,5981,22,,,1207
1299,5982,93,,,1207
1300,5986,111,,,1413
1301,5987,16,,,1413
1302,5988,13,,,1413
1303,5993,10,2081,36,1150
1304,5995,12,2102,122,1237
1305,6006,13,,,1416
1306,6007,14,,,1416
1307,6008,3,,,1416
1308,6010,82,2699,188,1377
1309,6027,282,3573,70,1394
1310,6030,285,,,827
1311,6031,13,,,679
1312,6032,14,,,679
1313,6034,16,978,137,822
1314,6037,95,,,1424
1315,6038,33,,,1424
1316,6041,15,2005,,1428
1317,6042,15,2017,,1428
1318,6043,16,,,1093
1319,6044,1,,,1093
1320,6045,12,,,1221
1321,6046,60,,,1221
1322,6047,46,,,1221
1323,6049,1,543,11,882
1324,6050,20,,,495
1325,6051,89,,,495
1326,6052,56,,,495
1327,6053,184,,,495
1328,6054,194,,,495
1329,6055,84,,,495
1330,6056,226,,,495
1331,6058,13,3270,52,994
1332,6059,1,536,,1263
1333,6060,1,543,,1263
1334,6061,21,,,597
1335,6062,4,,,597
1336,6063,4,,,732
1337,6064,13,,,732
1338,6065,14,,,732
1339,6066,15,,,732
1340,6067,9,,,1121
1341,6068,11,,,1121
1342,6069,93,,,1121
1343,6070,25,2531,103,1310
1344,6071,5,2822,,1422
1345,6072,13,3270,52,440
1346,6073,10,2080,81,528
1347,6074,1,542,10,857
1348,6075,10,2080,35,1148
1349,6076,5,2823,186,1352
1350,6077,1,543,,1397
1351,6078,285,,,36
1352,6079,83,194,5,37
1353,6081,2,845,17,39
1354,6082,285,,,40
1355,6083,285,,,838
1356,6084,285,,,769
1357,6085,6,,,1271
1358,6086,12,,,1271
1359,6087,12,2105,80,1323
1360,6088,9,2945,192,1421
1361,6089,9,2945,193,1421
1362,6090,9,2945,194,1421
1363,6091,9,2941,47,1008
1364,6092,4,,,1105
1365,6093,9,,,1105
1366,6094,3,,,1105
1367,6095,190,,,1105
1368,6096,9,2950,63,1155
1369,6097,9,2941,,1315
1370,6098,190,1632,,1337
1371,6099,93,12,148,1346
1372,6100,285,,,856
1373,6101,285,,,612
1374,6102,14,,,861
1375,6103,13,,,861
1376,6104,15,,,861
1377,6105,1,,,861
1378,6106,15,,,1158
1379,6107,13,,,1158
1380,6108,25,2531,,1248
1381,6109,13,3247,,1260
1382,6110,10,2080,200,1433
1383,6111,14,1461,112,1343
1384,6112,14,1470,136,1431
1385,6113,8,1886,162,1415
1386,6114,4,423,,1224
1387,6115,4,417,,1224
1388,6116,227,2312,100,1258
1389,6117,33,3532,55,1278
1390,6118,25,2531,103,1279
1391,6119,33,3532,55,1356
1392,6120,25,2531,146,1362
1393,6126,13,3270,,975
1394,6127,13,3243,,975
1395,6128,13,3270,52,1085
1396,6129,20,3556,135,774
1397,6130,20,3556,58,774
1398,6131,81,2377,114,862
1399,6132,89,,,964
1400,6133,14,,,964
1401,6134,18,,,964
1402,6135,14,,,1084
1403,6136,13,,,1084
1404,6137,22,,,1084
1405,6138,20,,,1084
1406,6139,14,,,1179
1407,6140,13,,,1179
1408,6141,2,845,17,1381
1409,6142,84,2219,187,1365
