rownames,report_view_id,report_layout,is_public,is_default,report_id,report_mode_id,created_by_id,name_fr,name_en,created,modified,code,order,last_modification_by_id,is_public_editable,lines_number_to_display_in_grid
14,17,"<?xml version=""1.0"" encoding=""utf-16""?> <ArrayOfFieldLayoutProperties xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <FieldLayoutProperties FieldName=""période"" Area=""ColumnArea"" SortOrder=""Ascending",0,0,1,1,60,Chargement,,2014-02-10 ,2016-01-05 ,790f36b1-b214-400d-952b-8f994101cae7,2,60,0,
15,18,"<?xml version=""1.0"" encoding=""utf-16""?> <ArrayOfFieldLayoutProperties xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <FieldLayoutProperties FieldName=""période"" Area=""ColumnArea"" SortOrder=""Ascending",0,0,1,1,60,Suivi des absences,,2014-02-12 ,2016-01-05 ,c6ec2d4e-7484-4a25-be34-4b4280a9e58b,3,60,0,
16,19,"<?xml version=""1.0"" encoding=""utf-16""?> <ArrayOfFieldLayoutProperties xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <FieldLayoutProperties FieldName=""période"" Area=""ColumnArea"" SortOrder=""Ascending",0,0,1,1,16,Formation DM,,2014-04-03 ,2014-04-03 ,12a1f061-53ee-4904-a2fd-4ad0e9f99f6f,1,16,,
17,20,"<?xml version=""1.0"" encoding=""utf-16""?> <ArrayOfFieldLayoutProperties xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <FieldLayoutProperties FieldName=""période"" Area=""ColumnArea"" SortOrder=""Ascending",0,0,1,1,21,Elisabeth Poulet,,2014-04-17 ,2014-04-17 ,d1cc4c53-17d3-4117-a771-20b72d565046,2,21,,
18,21,"<?xml version=""1.0"" encoding=""utf-16""?> <ArrayOfFieldLayoutProperties xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <FieldLayoutProperties FieldName=""période"" Area=""ColumnArea"" SortOrder=""Ascending",0,0,1,1,23,TTBN 2014,,2014-04-18 ,2014-04-18 ,45ab6165-69f9-4836-a948-403df9b4be5c,2,23,,
19,22,"<?xml version=""1.0"" encoding=""utf-16""?> <ArrayOfFieldLayoutProperties xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <FieldLayoutProperties FieldName=""période"" Area=""ColumnArea"" SortOrder=""Ascending",0,0,1,1,23,Markers SPAQ Chad 2014,,2014-04-18 ,2014-04-18 ,6d46f94d-60d0-4622-9cb2-b767c0f5da26,3,23,,
20,23,"<?xml version=""1.0"" encoding=""utf-16""?> <ArrayOfFieldLayoutProperties xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <FieldLayoutProperties FieldName=""période"" Area=""ColumnArea"" SortOrder=""Ascending",0,0,1,1,37,Jours 2014,,2014-04-22 ,2014-04-22 ,fd09441c-ced2-43ea-b6cc-3d80b927637b,2,37,,
21,24,"<?xml version=""1.0"" encoding=""utf-16""?> <ArrayOfFieldLayoutProperties xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <FieldLayoutProperties FieldName=""code_projet"" Area=""RowArea"" SortOrder=""Ascendin",1,0,5,1,60,DRC projets,,2014-04-23 ,2015-11-24 ,930d9372-d016-4ee8-8f59-d3c53b7d0d07,2,16,0,
22,25,"<?xml version=""1.0"" encoding=""utf-16""?> <ArrayOfFieldLayoutProperties xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <FieldLayoutProperties FieldName=""période"" Area=""ColumnArea"" SortOrder=""Ascending",0,0,1,1,57,vu noella,,2014-06-23 ,2014-06-23 ,1f91fe87-83d8-4016-a9e6-7ff33e406d43,2,57,,
23,26,"<?xml version=""1.0"" encoding=""utf-16""?> <ArrayOfFieldLayoutProperties xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <FieldLayoutProperties FieldName=""période"" Area=""ColumnArea"" SortOrder=""Ascending",0,0,1,1,60,Consultations,,2014-07-02 ,2016-01-05 ,6ef2df75-cf6e-4191-b27d-3c9f82773843,4,60,0,
24,27,"<?xml version=""1.0"" encoding=""utf-16""?> <ArrayOfFieldLayoutProperties xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <FieldLayoutProperties FieldName=""code_projet"" Area=""FilterArea"" SortOrder=""Ascen",0,0,3,1,60,activité budget,,2014-07-17 ,2014-07-17 ,1766ecf7-d668-4a2f-99d2-c1f41aa062c8,2,60,,
25,28,"<?xml version=""1.0"" encoding=""utf-16""?> <ArrayOfFieldLayoutProperties xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <FieldLayoutProperties FieldName=""code_projet"" Area=""RowArea"" SortOrder=""Ascendin",0,0,3,1,60,Facturation,,2014-08-05 ,2014-08-05 ,f08b1c7c-350c-470e-aade-73cda9d6ca38,3,60,,
