rownames,session_id,project_id,event_id,article_id,named_aticle_id,theme_id,sub_theme_id,user_comments,event_year,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,qyear,unit_price,unit_price_cur,unit_price_eur,total_cost,real_total_cost,real_total_cost_manual,financer_id,is_in_accounting,comments,credte,creuser_id,upddte,upduser_id,refqyear,refunit_price_eur,reftotal_cost,comptage_jours_qyear
62,1,13,@T_13_97452014,97,45,1,1,,2014,-3,-3.25,-4.75,-2.75,-0,-0,-0.5,-0,-0.5,-0.75,-0.5,-0,,,0,EUR,0,0,13280,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,16
63,1,13,1d4f5ac5-4f67-4b2e-a09e-ad83df0e71c0,97,45,1,1,,2014,0.5,0.5,1,1,1,1,0.5,0.5,1,1,1,1,0,10,830,EUR,830,8300,0,0,0,0,,2013-12-11 ,45,2013-12-11 ,45,,,,
64,1,14,@A_14_2012014,201,,25,86,,2014,,,,,,,,,,,,,,,0,EUR,0,0,3443.71,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
65,1,14,@A_14_2062013,206,,25,86,,2013,,,,,,,,,,,,,,,0,EUR,0,0,1889.6900000000003,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
66,1,14,@A_14_2062014,206,,25,86,,2014,,,,,,,,,,,,,,,0,EUR,0,0,1011.62,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
67,1,14,@A_14_2072014,207,,25,86,,2014,,,,,,,,,,,,,,,0,EUR,0,0,11182.14,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
68,1,14,@A_14_2122014,212,,25,86,,2014,,,,,,,,,,,,,,,0,EUR,0,0,60.98,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
69,1,14,@A_14_2142013,214,,25,86,,2013,,,,,,,,,,,,,,,0,EUR,0,0,117.88,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
70,1,14,@A_14_2172013,217,,25,86,,2013,,,,,,,,,,,,,,,0,EUR,0,0,303.55,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
71,1,14,@A_14_2172014,217,,25,86,,2014,,,,,,,,,,,,,,,0,EUR,0,0,144.83,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
72,1,14,@A_14_2182014,218,,25,86,,2014,,,,,,,,,,,,,,,0,EUR,0,0,7245.47,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
