rownames,macro_budget_id,year,amount,comment,project_id,accounting_amount
1034,40698630,2018,31436.21,,734,31436.21
1035,40698665,2017,0,,717,0
1036,40698666,2016,1585.03,,717,1585.03
1037,40698667,2018,1135.7,,717,1135.7
1038,40698884,2015,73.4,,191,73.4
1039,40698885,2017,0,,191,0
1040,40698886,2013,15208.58,,191,15208.58
1041,40698887,2018,0,,191,0
1042,40698888,2014,9201.6,,191,9201.6
1043,40699142,2017,0,,761,0
1044,40699143,2018,295.84,,761,295.84
1045,40699168,2018,0,,870,0
1046,40701042,2015,2707.47,,532,2707.47
1047,40701043,2017,18522.08,,532,18522.08
1048,40701044,2016,12480.92,,532,12480.92
1049,40701203,2018,2164.63,,46,2164.63
1050,40701204,2013,24678.64,,46,24678.64
1051,40701205,2015,3526.78,,46,3526.78
1052,40701206,2016,267,,46,267
1053,40701207,2014,25707,,46,25707
1054,40701208,2019,261.93,,46,261.93
1055,40701209,2017,737.78,,46,737.78
1056,40701210,2018,2405.98,,879,2405.98
1057,40701211,2019,16497.3,,879,16497.3
1058,40701212,2019,8249.45,,1065,8249.45
1059,40701223,2018,3247.96,,401,3247.96
1060,40701224,2014,251.78,,401,251.78
1061,40701225,2016,9619.49,,401,9619.49
1062,40701226,2017,656.32,,401,656.32
1063,40701227,2019,0,,401,0
1064,40701228,2015,1118.39,,401,1118.39
1065,40701229,2018,517.95,,779,517.95
1066,40701230,2017,0,,779,0
1067,40701231,2019,2905.44,,779,2905.44
1068,40701241,2018,85,,971,85
1069,40701242,2019,2838.48,,971,2838.48
1070,40701243,2019,382,,1071,382
1071,40701246,2019,0,,1002,0
1072,40701317,2019,123553.54,,979,123553.54
1073,40701335,2018,0,,782,0
1074,40701336,2017,3146.87,,782,3146.87
1075,40701337,2019,0,,782,0
1076,40701338,2018,11196.13,,951,11196.13
1077,40701339,2019,2241.32,,951,2241.32
1078,40701365,2018,0,,713,0
1079,40701366,2017,2048.09,,713,2048.09
1080,40701367,2019,0,,713,0
1081,40701383,2019,7161.2,,1031,7161.2
1082,40701384,2018,35767.01,,770,35767.01
1083,40701385,2017,15892,,770,15892
1084,40701386,2019,171.38,,770,171.38
1085,40701391,2019,1247.2,,868,1247.2
1086,40701392,2018,628.8,,868,628.8
1087,40701416,2018,71198.94,,839,71198.94
1088,40701417,2019,783.39,,839,783.39
1089,40701425,2019,116322.02,,982,116322.02
1090,40701442,2016,22514.13,,522,22514.13
1091,40701443,2018,0,,522,0
1092,40701444,2015,0,,522,0
1093,40701445,2019,-1.29,,522,-1.29
1094,40701446,2017,2710.98,,522,2710.98
1095,40701454,2019,2058,,1017,2058
1096,40701456,2019,8541.94,,1000,8541.94
1097,40701480,2018,2138.23,,871,2138.23
1098,40701481,2019,1238.63,,871,1238.63
1099,40701487,2019,7565.23,,1006,7565.23
1100,40701493,2019,1323.88,,1057,1323.88
1101,40701497,2016,10849.34,,605,10849.34
1102,40701498,2018,182.06,,605,182.06
1103,40701499,2019,2094,,605,2094
1104,40701500,2017,971.78,,605,971.78
1105,40701513,2016,1696.2,,536,1696.2
1106,40701514,2019,-38.03,,536,-38.03
1107,40701515,2017,8510.74,,536,8510.74
1108,40701516,2015,0,,536,0
1109,40701517,2018,8021.37,,536,8021.37
1110,40701540,2019,3322.42,,977,3322.42
1111,40701557,2019,0,,1020,0
1112,40701579,2016,1696.2,,851,1696.2
1113,40701580,2018,8021.37,,851,8021.37
1114,40701581,2017,8510.74,,851,8510.74
1115,40701582,2019,-38.03,,851,-38.03
1116,40701625,2014,19505,,170,19505
1117,40701626,2019,38.6,,170,38.6
1118,40701627,2018,71.87,,170,71.87
1119,40701628,2017,0,,170,0
1120,40701629,2015,2928.5,,170,2928.5
1121,40701630,2013,13695,,170,13695
1122,40701631,2019,3767.76,,957,3767.76
1123,40701632,2018,1086.24,,957,1086.24
1124,40701643,2018,49983.36,,811,49983.36
1125,40701644,2019,4877.99,,811,4877.99
1126,40701645,2019,0,,1060,0
1127,40701657,2019,0,,794,0
1128,40701658,2018,0,,794,0
1129,40701659,2017,4674.55,,794,4674.55
1130,40701686,2019,71439.62,,980,71439.62
1131,40701690,2014,51406.05,,253,51406.05
1132,40701691,2019,526.32,,253,526.32
1133,40701692,2016,164551.27,,253,164551.27
1134,40701693,2018,86146.38,,253,86146.38
1135,40701694,2015,136936.19,,253,136936.19
1136,40701695,2017,155898.8,,253,155898.8
1137,40701696,2019,5135.85,,1029,5135.85
1138,40701710,2019,2640.26,,1044,2640.26
1139,40701734,2019,0,,852,0
1140,40701735,2018,8544.92,,852,8544.92
1141,40701749,2019,3502.57,,1004,3502.57
1142,40701750,2018,600,,1004,600
1143,40701751,2017,197182.68,,411,197182.68
1144,40701752,2019,387.82,,411,387.82
1145,40701753,2018,13496.71,,411,13496.71
1146,40701754,2015,84381.94,,411,84381.94
1147,40701755,2016,93172.18,,411,93172.18
1148,40701765,2018,10082.81,,958,10082.81
1149,40701806,2019,605.23,,511,605.23
1150,40701807,2016,54081.91,,511,54081.91
1151,40701808,2017,14899.63,,511,14899.63
1152,40701809,2015,13066.82,,511,13066.82
1153,40701810,2018,0,,511,0
1154,40701817,2017,92126.42,,560,92126.42
1155,40701818,2018,0,,560,0
1156,40701819,2016,141272.19,,560,141272.19
1157,40701820,2019,0,,703,0
1158,40701821,2017,0,,703,0
1159,40701822,2018,0,,703,0
1160,40701827,2019,2094,,136,2094
1161,40701828,2014,80146.31,,136,80146.31
1162,40701829,2017,0,,136,0
1163,40701830,2015,25997.14,,136,25997.14
1164,40701831,2018,0,,136,0
1165,40701832,2013,44751.35,,136,44751.35
1166,40701833,2016,16810.07,,136,16810.07
1167,40701860,2019,4290.68,,981,4290.68
1168,40701861,2018,26,,981,26
1169,40701863,2019,0,,878,0
1170,40701864,2018,0,,878,0
1171,40701875,2019,111,,1041,111
1172,40701885,2017,0,,826,0
1173,40701886,2018,0,,826,0
1174,40701887,2019,0,,972,0
1175,40701888,2018,0,,972,0
1176,40701889,2018,0,,872,0
1177,40701914,2017,37370.15,,517,37370.15
1178,40701915,2019,46742.14,,517,46742.14
1179,40701916,2015,27177.45,,517,27177.45
1180,40701917,2016,27026.08,,517,27026.08
1181,40701925,2017,144.4,,723,144.4
1182,40701926,2019,0,,723,0
1183,40701927,2018,82.8,,723,82.8
1184,40701958,2019,38648.69,,978,38648.69
1185,40701959,2019,70515.95,,1035,70515.95
1186,40701978,2019,1097.27,,2,1097.27
1187,40701979,2013,15853,,2,15853
1188,40701980,2014,19920,,2,19920
1189,40701981,2017,0,,835,0
1190,40701982,2018,1104.48,,835,1104.48
1191,40701986,2019,2934.38,,886,2934.38
1192,40701987,2018,22,,886,22
1193,40701988,2018,492.77,,973,492.77
1194,40701989,2019,455.74,,973,455.74
1195,40702036,2019,15373.8,,996,15373.8
