rownames,axe1_analytical_section_permission_id,user_id,entity_id
348,1137,11,559
349,1140,80,544
350,1141,80,545
351,1142,80,546
352,1143,80,547
353,1144,80,559
354,1145,4,560
355,1147,47,562
356,1156,68,570
357,1157,80,485
358,1158,11,571
359,1159,11,572
360,1160,47,573
361,1162,17,575
362,1164,82,577
363,1166,18,74
364,1169,79,578
365,1172,11,579
366,1175,11,580
367,1185,18,584
368,1202,68,50
369,1206,3,590
370,1208,25,3
371,1212,37,593
372,1213,55,593
373,1215,4,595
374,1226,16,192
375,1227,16,197
376,1228,16,278
377,1229,16,596
378,1230,16,597
379,1231,16,598
380,1232,16,599
381,1233,16,600
382,1234,16,601
383,1237,12,602
384,1240,19,557
385,1241,19,604
386,1290,43,470
387,1294,49,521
388,1298,82,667
389,1301,17,670
390,1302,17,671
391,1307,43,674
392,1308,109,485
393,1309,109,54
394,1310,109,55
395,1311,109,56
396,1312,109,82
397,1313,109,119
398,1314,109,230
399,1315,109,258
400,1316,109,291
401,1317,109,365
402,1318,109,456
403,1319,109,457
404,1320,109,458
405,1321,109,464
406,1323,109,481
407,1324,109,544
408,1325,109,545
409,1326,109,546
410,1327,109,547
411,1328,109,556
412,1329,109,559
413,1330,109,563
414,1331,109,565
415,1332,109,579
416,1333,109,580
417,1334,109,447
418,1335,109,593
419,1338,12,676
420,1339,17,677
421,1342,47,678
422,1354,111,50
423,1355,111,52
424,1356,111,84
425,1357,111,131
426,1358,111,157
427,1359,111,521
428,1360,111,540
429,1361,111,557
430,1362,111,565
431,1363,111,582
432,1364,111,655
433,1365,111,673
434,1544,43,53
435,1548,58,211
436,1549,58,213
437,1558,12,609
438,1562,38,613
439,1570,7,621
440,1572,12,623
441,1574,12,625
442,1577,17,628
443,1578,21,629
444,1580,17,631
445,1582,25,633
446,1585,17,636
447,1588,12,639
448,1590,4,641
449,1593,28,644
450,1596,12,647
451,1598,37,649
452,1600,17,654
453,1606,3,611
454,1618,99,690
455,1619,99,691
456,1620,49,692
457,1621,7,693
458,1626,7,698
459,1627,2,699
460,1633,49,702
461,1634,43,703
462,1639,77,707
463,1642,115,497
464,1643,115,498
465,1644,115,499
466,1645,115,500
467,1650,12,510
468,1658,11,50
469,1659,11,52
470,1660,11,75
471,1661,11,84
472,1662,11,157
473,1663,11,521
474,1664,11,540
475,1665,11,565
476,1666,11,582
477,1667,11,655
478,1668,11,673
479,1669,11,695
480,1670,11,702
481,1671,11,703
482,1672,12,712
483,1673,12,713
484,1677,93,716
485,1678,11,717
486,1679,4,718
487,1681,4,720
488,1684,99,723
489,1689,80,137
490,1690,43,725
491,1698,2,730
492,1699,55,563
493,1701,55,730
494,1703,25,137
495,1710,99,735
